order_item_id,order_id,product_id,quantity,unit_price,discount,total_price
ITEM-0000001,ORD-000001,PROD-0158,6,217.55,0.1,1174.77
ITEM-0000002,ORD-000002,PROD-0186,10,384.96,0.0,3849.6
ITEM-0000003,ORD-000002,PROD-0146,3,694.88,0.2,1667.71
ITEM-0000004,ORD-000002,PROD-0177,8,76.63,0.1,551.74
ITEM-0000005,ORD-000002,PROD-0154,4,1487.91,0.0,5951.64
ITEM-0000006,ORD-000003,PROD-0032,9,463.63,0.0,4172.67
ITEM-0000007,ORD-000003,PROD-0091,8,854.5,0.0,6836.0
ITEM-0000008,ORD-000004,PROD-0073,5,47.18,0.0,235.9
ITEM-0000009,ORD-000004,PROD-0038,1,954.52,0.05,906.79
ITEM-0000010,ORD-000004,PROD-0188,3,592.89,0.0,1778.67
ITEM-0000011,ORD-000005,PROD-0108,10,155.22,0.0,1552.2
ITEM-0000012,ORD-000005,PROD-0167,10,431.28,0.1,3881.52
ITEM-0000013,ORD-000006,PROD-0143,1,223.45,0.0,223.45
ITEM-0000014,ORD-000006,PROD-0107,8,1124.03,0.0,8992.24
ITEM-0000015,ORD-000007,PROD-0030,2,29.07,0.2,46.51
ITEM-0000016,ORD-000008,PROD-0128,7,326.22,0.0,2283.54
ITEM-0000017,ORD-000009,PROD-0093,7,138.88,0.0,972.16
ITEM-0000018,ORD-000010,PROD-0080,10,1161.54,0.05,11034.63
ITEM-0000019,ORD-000010,PROD-0059,1,862.76,0.0,862.76
ITEM-0000020,ORD-000010,PROD-0070,7,1554.16,0.1,9791.21
ITEM-0000021,ORD-000010,PROD-0064,4,300.46,0.0,1201.84
ITEM-0000022,ORD-000011,PROD-0148,3,1251.12,0.2,3002.69
ITEM-0000023,ORD-000012,PROD-0163,3,825.48,0.15,2104.97
ITEM-0000024,ORD-000013,PROD-0117,5,119.46,0.0,597.3
ITEM-0000025,ORD-000014,PROD-0151,9,505.68,0.05,4323.56
ITEM-0000026,ORD-000015,PROD-0120,2,1270.45,0.0,2540.9
ITEM-0000027,ORD-000016,PROD-0032,6,463.63,0.0,2781.78
ITEM-0000028,ORD-000017,PROD-0116,6,550.36,0.2,2641.73
ITEM-0000029,ORD-000017,PROD-0031,5,349.7,0.1,1573.65
ITEM-0000030,ORD-000018,PROD-0184,3,204.74,0.0,614.22
ITEM-0000031,ORD-000018,PROD-0198,1,606.19,0.0,606.19
ITEM-0000032,ORD-000019,PROD-0009,4,1200.74,0.0,4802.96
ITEM-0000033,ORD-000019,PROD-0005,5,448.69,0.2,1794.76
ITEM-0000034,ORD-000020,PROD-0053,1,188.06,0.0,188.06
ITEM-0000035,ORD-000021,PROD-0102,4,107.15,0.05,407.17
ITEM-0000036,ORD-000021,PROD-0097,1,400.29,0.2,320.23
ITEM-0000037,ORD-000022,PROD-0183,2,1123.54,0.0,2247.08
ITEM-0000038,ORD-000022,PROD-0032,1,463.63,0.0,463.63
ITEM-0000039,ORD-000023,PROD-0106,10,138.32,0.05,1314.04
ITEM-0000040,ORD-000024,PROD-0108,6,155.22,0.0,931.32
ITEM-0000041,ORD-000025,PROD-0135,7,751.38,0.0,5259.66
ITEM-0000042,ORD-000026,PROD-0072,8,843.53,0.15,5736.0
ITEM-0000043,ORD-000026,PROD-0151,10,505.68,0.0,5056.8
ITEM-0000044,ORD-000026,PROD-0030,8,29.07,0.0,232.56
ITEM-0000045,ORD-000027,PROD-0015,6,191.41,0.0,1148.46
ITEM-0000046,ORD-000027,PROD-0096,7,224.97,0.0,1574.79
ITEM-0000047,ORD-000028,PROD-0097,5,400.29,0.0,2001.45
ITEM-0000048,ORD-000029,PROD-0033,10,621.87,0.2,4974.96
ITEM-0000049,ORD-000030,PROD-0100,2,841.3,0.0,1682.6
ITEM-0000050,ORD-000030,PROD-0009,6,1200.74,0.0,7204.44
ITEM-0000051,ORD-000030,PROD-0193,8,459.9,0.0,3679.2
ITEM-0000052,ORD-000030,PROD-0096,10,224.97,0.0,2249.7
ITEM-0000053,ORD-000030,PROD-0078,6,1521.79,0.0,9130.74
ITEM-0000054,ORD-000031,PROD-0012,6,988.65,0.2,4745.52
ITEM-0000055,ORD-000032,PROD-0182,5,454.99,0.0,2274.95
ITEM-0000056,ORD-000033,PROD-0156,7,59.84,0.1,376.99
ITEM-0000057,ORD-000034,PROD-0001,3,679.6,0.0,2038.8
ITEM-0000058,ORD-000034,PROD-0072,4,843.53,0.0,3374.12
ITEM-0000059,ORD-000034,PROD-0184,5,204.74,0.0,1023.7
ITEM-0000060,ORD-000034,PROD-0124,8,360.18,0.05,2737.37
ITEM-0000061,ORD-000035,PROD-0125,2,779.36,0.0,1558.72
ITEM-0000062,ORD-000035,PROD-0069,3,788.63,0.1,2129.3
ITEM-0000063,ORD-000036,PROD-0107,5,1124.03,0.0,5620.15
