order_id,customer_id,order_date,ship_mode,region,ship_date
ORD-000001,CUST-03573,2022-05-30,Second Class,East,2022-05-31
ORD-000002,CUST-04479,2022-08-08,Standard Class,North,2022-08-10
ORD-000003,CUST-02755,2023-07-12,First Class,West,2023-07-17
ORD-000004,CUST-03264,2022-06-14,Same Day,West,2022-06-19
ORD-000005,CUST-03826,2023-03-31,First Class,Central,2023-04-02
ORD-000006,CUST-03417,2022-08-09,Standard Class,West,2022-08-10
ORD-000007,CUST-02058,2022-11-25,Standard Class,North,2022-11-30
ORD-000008,CUST-02312,2022-09-28,Second Class,South,2022-10-02
ORD-000009,CUST-02880,2021-05-31,Standard Class,West,2021-06-03
ORD-000010,CUST-03643,2021-05-04,Standard Class,North,2021-05-10
ORD-000011,CUST-02610,2023-08-31,Standard Class,Central,2023-09-06
ORD-000012,CUST-01431,2023-02-15,Standard Class,West,2023-02-16
ORD-000013,CUST-01914,2022-04-05,Standard Class,East,2022-04-11
ORD-000014,CUST-00758,2021-06-27,Standard Class,East,2021-07-01
ORD-000015,CUST-02135,2023-08-30,Standard Class,South,2023-09-01
ORD-000016,CUST-01913,2021-06-21,Standard Class,Central,2021-06-23
ORD-000017,CUST-01740,2023-09-23,Second Class,North,2023-09-26
ORD-000018,CUST-03218,2021-08-05,Second Class,West,2021-08-10
ORD-000019,CUST-04757,2023-04-08,Standard Class,North,2023-04-12
ORD-000020,CUST-01135,2021-07-17,Second Class,East,2021-07-23
ORD-000021,CUST-03713,2021-05-10,Second Class,Central,2021-05-15
ORD-000022,CUST-00765,2021-02-13,Standard Class,North,2021-02-19
ORD-000023,CUST-02726,2022-03-10,Standard Class,West,2022-03-16
ORD-000024,CUST-03369,2021-03-22,Standard Class,Central,2021-03-28
ORD-000025,CUST-03498,2022-12-01,Standard Class,West,2022-12-05
ORD-000026,CUST-01673,2022-03-22,Second Class,West,2022-03-24
ORD-000027,CUST-03406,2021-07-26,Standard Class,Central,2021-07-28
ORD-000028,CUST-00583,2023-04-23,Standard Class,Central,2023-04-28
ORD-000029,CUST-04767,2022-10-05,Second Class,West,2022-10-10
ORD-000030,CUST-04634,2021-06-01,Second Class,East,2021-06-05
ORD-000031,CUST-01822,2023-05-05,Standard Class,West,2023-05-08
ORD-000032,CUST-01186,2022-09-02,Second Class,Central,2022-09-04
ORD-000033,CUST-04526,2021-09-22,Standard Class,South,2021-09-26
ORD-000034,CUST-01638,2021-11-24,Standard Class,North,2021-11-25
ORD-000035,CUST-02181,2023-07-22,Second Class,West,2023-07-28
ORD-000036,CUST-00189,2023-01-15,Standard Class,North,2023-01-20
ORD-000037,CUST-01747,2023-07-26,Standard Class,West,2023-07-28
ORD-000038,CUST-03827,2023-04-07,First Class,West,2023-04-10
ORD-000039,CUST-02621,2021-03-10,First Class,South,2021-03-13
ORD-000040,CUST-03946,2021-03-31,First Class,Central,2021-04-01
ORD-000041,CUST-02327,2022-02-02,Standard Class,East,2022-02-07
ORD-000042,CUST-01185,2022-07-24,First Class,Central,2022-07-29
ORD-000043,CUST-02794,2022-02-11,First Class,North,2022-02-15
ORD-000044,CUST-02947,2022-07-20,Same Day,North,2022-07-21
ORD-000045,CUST-02501,2021-11-30,Same Day,West,2021-12-06
ORD-000046,CUST-04947,2023-05-28,Standard Class,Central,2023-05-31
ORD-000047,CUST-00170,2021-10-10,Standard Class,South,2021-10-13
ORD-000048,CUST-04926,2022-06-17,Standard Class,East,2022-06-18
ORD-000049,CUST-02746,2022-04-15,Standard Class,Central,2022-04-16
ORD-000050,CUST-01081,2023-07-29,First Class,West,2023-08-01
ORD-000051,CUST-01264,2023-06-14,Second Class,North,2023-06-15
ORD-000052,CUST-04865,2021-01-13,Second Class,Central,2021-01-14
ORD-000053,CUST-04454,2023-03-17,Standard Class,North,2023-03-22
ORD-000054,CUST-02249,2022-12-19,Standard Class,West,2022-12-20
ORD-000055,CUST-03909,2022-10-01,Standard Class,North,2022-10-04
ORD-000056,CUST-01326,2022-08-25,Second Class,West,2022-08-27
ORD-000057,CUST-03178,2022-06-20,Second Class,East,2022-06-23
ORD-000058,CUST-03874,2023-03-12,First Class,South,2023-03-18
ORD-000059,CUST-02149,2022-03-06,Standard Class,North,2022-03-12
ORD-000060,CUST-01689,2021-04-26,First Class,Central,2021-05-01
ORD-000061,CUST-02986,2022-03-01,Standard Class,East,2022-03-02
ORD-000062,CUST-02077,2021-06-03,Standard Class,South,2021-06-06
ORD-000063,CUST-01530,2021-06-01,Standard Class,Central,2021-06-07
ORD-000064,CUST-01462,2022-08-04,Standard Class,Central,2022-08-08
ORD-000065,CUST-01403,2022-08-26,Same Day,West,2022-08-28
ORD-000066,CUST-00073,2022-08-20,First Class,South,2022-08-23
ORD-000067,CUST-04350,2023-02-16,Standard Class,Central,2023-02-17
ORD-000068,CUST-04035,2023-09-15,Standard Class,Central,2023-09-20
ORD-000069,CUST-04612,2023-08-21,Standard Class,Central,2023-08-23
ORD-000070,CUST-02797,2021-04-13,Standard Class,East,2021-04-19
ORD-000071,CUST-04517,2023-08-06,Second Class,South,2023-08-12
ORD-000072,CUST-02494,2021-04-19,Standard Class,West,2021-04-23
ORD-000073,CUST-04975,2022-07-31,Standard Class,East,2022-08-04
ORD-000074,CUST-04232,2023-03-10,Standard Class,East,2023-03-11
ORD-000075,CUST-03577,2021-04-14,Standard Class,East,2021-04-18
ORD-000076,CUST-00033,2023-03-16,Standard Class,West,2023-03-18
ORD-000077,CUST-02695,2021-10-20,Second Class,West,2021-10-26
ORD-000078,CUST-04374,2023-06-08,Same Day,East,2023-06-12
ORD-000079,CUST-04846,2022-07-03,Standard Class,East,2022-07-04
