product_id,product_name,category,sub_category,unit_cost,unit_price
PROD-0001,Laptops Model 588,Electronics,Laptops,565.92,679.6
PROD-0002,Laptops Model 631,Electronics,Laptops,71.57,119.88
PROD-0003,Laptops Model 812,Electronics,Laptops,547.19,660.69
PROD-0004,Laptops Model 980,Electronics,Laptops,281.42,364.85
PROD-0005,Laptops Model 172,Electronics,Laptops,343.63,448.69
PROD-0006,Laptops Model 925,Electronics,Laptops,190.87,242.68
PROD-0007,Laptops Model 406,Electronics,Laptops,90.92,131.9
PROD-0008,Laptops Model 871,Electronics,Laptops,118.33,215.21
PROD-0009,Laptops Model 793,Electronics,Laptops,700.85,1200.74
PROD-0010,Laptops Model 108,Electronics,Laptops,122.85,199.56
PROD-0011,Laptops Model 459,Electronics,Laptops,492.15,655.2
PROD-0012,Laptops Model 255,Electronics,Laptops,580.72,988.65
PROD-0013,Smartphones Model 322,Electronics,Smartphones,496.7,771.83
PROD-0014,Smartphones Model 870,Electronics,Smartphones,78.48,100.48
PROD-0015,Smartphones Model 459,Electronics,Smartphones,107.29,191.41
PROD-0016,Smartphones Model 243,Electronics,Smartphones,770.97,1119.14
PROD-0017,Smartphones Model 354,Electronics,Smartphones,205.75,353.0
PROD-0018,Smartphones Model 722,Electronics,Smartphones,447.18,751.27
PROD-0019,Smartphones Model 127,Electronics,Smartphones,235.09,459.14
PROD-0020,Smartphones Model 408,Electronics,Smartphones,679.83,1173.88
PROD-0021,Smartphones Model 293,Electronics,Smartphones,172.3,290.42
PROD-0022,Smartphones Model 155,Electronics,Smartphones,600.8,863.01
PROD-0023,Smartphones Model 345,Electronics,Smartphones,629.2,1154.6
PROD-0024,Smartphones Model 611,Electronics,Smartphones,400.96,517.32
PROD-0025,Smartphones Model 112,Electronics,Smartphones,514.09,646.11
PROD-0026,Smartphones Model 235,Electronics,Smartphones,789.64,1537.54
PROD-0027,Smartphones Model 530,Electronics,Smartphones,315.6,590.54
PROD-0028,Smartphones Model 881,Electronics,Smartphones,298.68,521.6
PROD-0029,Smartphones Model 174,Electronics,Smartphones,382.1,760.34
PROD-0030,Smartphones Model 368,Electronics,Smartphones,23.18,29.07
PROD-0031,Smartphones Model 908,Electronics,Smartphones,180.44,349.7
PROD-0032,Smartphones Model 829,Electronics,Smartphones,324.4,463.63
PROD-0033,Smartphones Model 818,Electronics,Smartphones,405.83,621.87
PROD-0034,Smartphones Model 650,Electronics,Smartphones,327.8,561.33
PROD-0035,Smartphones Model 417,Electronics,Smartphones,496.68,706.27
PROD-0036,Tablets Model 927,Electronics,Tablets,413.93,564.0
PROD-0037,Tablets Model 700,Electronics,Tablets,132.75,194.0
PROD-0038,Tablets Model 797,Electronics,Tablets,511.09,954.52
PROD-0039,Tablets Model 547,Electronics,Tablets,518.09,750.26
PROD-0040,Tablets Model 159,Electronics,Tablets,586.67,1101.28
PROD-0041,Tablets Model 218,Electronics,Tablets,203.14,394.03
PROD-0042,Tablets Model 416,Electronics,Tablets,368.16,621.11
PROD-0043,Tablets Model 279,Electronics,Tablets,536.2,925.72
PROD-0044,Tablets Model 818,Electronics,Tablets,104.36,184.33
PROD-0045,Tablets Model 455,Electronics,Tablets,18.97,30.3
PROD-0046,Tablets Model 838,Electronics,Tablets,423.17,772.87
PROD-0047,Tablets Model 867,Electronics,Tablets,214.81,321.68
PROD-0048,Accessories Model 130,Electronics,Accessories,589.02,762.45
PROD-0049,Accessories Model 636,Electronics,Accessories,274.66,423.93
PROD-0050,Accessories Model 690,Electronics,Accessories,60.46,107.01
PROD-0051,Accessories Model 623,Electronics,Accessories,505.75,807.64
PROD-0052,Accessories Model 680,Electronics,Accessories,294.5,471.11
PROD-0053,Accessories Model 891,Electronics,Accessories,141.84,188.06
PROD-0054,Accessories Model 840,Electronics,Accessories,91.29,151.46
PROD-0055,Accessories Model 102,Electronics,Accessories,101.11,181.25
PROD-0056,Accessories Model 350,Electronics,Accessories,44.79,84.67
PROD-0057,Accessories Model 253,Electronics,Accessories,46.33,69.09
PROD-0058,Accessories Model 136,Electronics,Accessories,151.38,297.96
PROD-0059,Accessories Model 858,Electronics,Accessories,446.76,862.76
PROD-0060,Accessories Model 354,Electronics,Accessories,528.01,728.45
PROD-0061,Accessories Model 377,Electronics,Accessories,338.84,601.86
PROD-0062,Accessories Model 222,Electronics,Accessories,662.54,1097.98
PROD-0063,Accessories Model 283,Electronics,Accessories,406.61,781.32
PROD-0064,Accessories Model 147,Electronics,Accessories,186.32,300.46
PROD-0065,Accessories Model 576,Electronics,Accessories,763.72,958.58
PROD-0066,Chairs Model 188,Furniture,Chairs,621.09,899.69
PROD-0067,Chairs Model 305,Furniture,Chairs,446.94,539.18
PROD-0068,Chairs Model 857,Furniture,Chairs,240.36,439.28
PROD-0069,Chairs Model 705,Furniture,Chairs,501.95,788.63
PROD-0070,Chairs Model 894,Furniture,Chairs,777.77,1554.16
PROD-0071,Chairs Model 878,Furniture,Chairs,164.38,315.67
PROD-0072,Chairs Model 519,Furniture,Chairs,638.82,843.53
PROD-0073,Chairs Model 751,Furniture,Chairs,28.89,47.18
PROD-0074,Chairs Model 443,Furniture,Chairs,673.26,1280.38
PROD-0075,Chairs Model 969,Furniture,Chairs,11.16,19.26
